model,N_params_B,D_tokens_B,Q_score,parameter_elasticity,data_elasticity,quality_semielasticity,quality_log_elasticity
exp_both,1.0092406985853148,300.0,0.5,0.1985586552460449,0.11641914990980227,0.3649501815677944,0.1824750907838972
exp_both,1.0771111684918493,300.0,0.5,0.19672777299039257,0.1179263828387431,0.3649501815677944,0.1824750907838972
exp_both,1.1495458624648436,300.0,0.5,0.1948905072373318,0.11943887083936645,0.3649501815677944,0.1824750907838972
exp_both,1.2268517201992426,300.0,0.5,0.19304727658321802,0.12095626931157104,0.3649501815677944,0.1824750907838972
exp_both,1.3093563227903597,300.0,0.5,0.19119850527591647,0.1224782290027763,0.3649501815677944,0.1824750907838972
exp_both,1.3974092808482748,300.0,0.5,0.1893446228377262,0.12400439631834177,0.3649501815677944,0.1824750907838972
exp_both,1.4913837159615921,300.0,0.5,0.18748606367774576,0.12553441364067855,0.3649501815677944,0.1824750907838972
exp_both,1.5916778417882176,300.0,0.5,0.18562326669439744,0.12706791965646205,0.3649501815677944,0.1824750907838972
exp_both,1.6987166514729748,300.0,0.5,0.18375667486886135,0.12860454969132867,0.3649501815677944,0.1824750907838972
exp_both,1.8129537185424418,300.0,0.5,0.18188673485020113,0.13014393605141147,0.3649501815677944,0.1824750907838972
exp_both,1.9348731189082338,300.0,0.5,0.1800138965329927,0.13168570837104804,0.3649501815677944,0.1824750907838972
exp_both,2.064991482123174,300.0,0.5,0.17813861262829342,0.13322949396597067,0.3649501815677944,0.1824750907838972
exp_both,2.2038601805824674,300.0,0.5,0.1762613382288114,0.13477491819127055,0.3649501815677944,0.1824750907838972
exp_both,2.3520676659465622,300.0,0.5,0.17438253036915752,0.13632160480341107,0.3649501815677944,0.1824750907838972
exp_both,2.5102419626862056,300.0,0.5,0.1725026475820769,0.13786917632554993,0.3649501815677944,0.1824750907838972
exp_both,2.67905332931602,300.0,0.5,0.17062214945157367,0.13941725441541936,0.3649501815677944,0.1824750907838972
exp_both,2.8592170985934766,300.0,0.5,0.16874149616385245,0.14096546023500342,0.3649501815677944,0.1824750907838972
exp_both,3.0514967087185463,300.0,0.5,0.1668611480570077,0.14251341482124635,0.3649501815677944,0.1824750907838972
exp_both,3.256706938378606,300.0,0.5,0.16498156517039744,0.14406073945702053,0.3649501815677944,0.1824750907838972
