replicate,budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
18,1e+21,2048,exponential,0.4,2.32359632221715,53.14236332293116,1.0,2.3814746561594,7.408883998265424e+20,5.057798142815864e+19,2.0853361874529885e+20,9.999999999999999e+20,1.1102230246251565e-16,0.7408883998265425,0.05057798142815864,0.20853361874529888,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
18,1e+22,2048,exponential,0.4,5.645344107336751,249.32399686764626,1.0,2.168965748231229,8.44511853920648e+21,5.765200922764957e+20,9.783613685170239e+20,1e+22,0.0,0.844511853920648,0.05765200922764957,0.0978361368517024,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
22,1e+19,2048,exponential,0.4,0.12903044515134449,9.999999999999998,0.5572603320916713,3.3081992667253104,7.741826709080668e+18,5.2850870333990694e+17,1.7296645875794253e+18,1e+19,0.0,0.7741826709080668,0.05285087033399069,0.17296645875794253,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
22,1e+21,2048,exponential,0.4,2.322968411789549,53.15373182507912,1.0,2.3823622161078055,7.408466399903499e+20,5.057513062334123e+19,2.0857822938630898e+20,1e+21,0.0,0.7408466399903499,0.05057513062334123,0.20857822938630896,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
22,1e+22,2048,exponential,0.4,5.642409489825192,249.4409775937302,1.0,2.169849475874145,8.444688834756818e+21,5.764907577860654e+20,9.788204074571158e+20,9.999999999999998e+21,2.220446049250313e-16,0.8444688834756819,0.05764907577860655,0.09788204074571161,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
26,1e+19,2048,exponential,0.4,0.12905864518683158,10.0,0.5571539233176206,3.3080608319546974,7.743518711209895e+18,5.286242106852622e+17,1.7278570781048422e+18,9.999999999999998e+18,2.220446049250313e-16,0.7743518711209897,0.052862421068526226,0.17278570781048425,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
26,1e+21,2048,exponential,0.4,2.322228800711142,53.16712894068604,1.0,2.3823610345918764,7.407974284631039e+20,5.057177111641457e+19,2.0863080042048153e+20,1e+21,0.0,0.7407974284631039,0.05057177111641457,0.20863080042048152,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
26,1e+22,2048,exponential,0.4,5.6393485881843,249.56310931829137,1.0,2.1698498070740913,8.444240209181945e+21,5.764601316134874e+20,9.792996592045697e+20,1.0000000000000002e+22,0.0,0.8444240209181944,0.05764601316134873,0.09792996592045695,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
30,1e+19,2048,exponential,0.4,0.13030542219123867,10.000000000000002,0.5523801695594477,3.2967898697816924,7.818325331474321e+18,5.337310092953137e+17,1.6479436592303636e+18,9.999999999999998e+18,2.220446049250313e-16,0.7818325331474323,0.05337310092953138,0.1647943659230364,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
30,1e+21,2048,exponential,0.4,2.322693254948359,53.15871515314791,1.0,2.3812297411488874,7.408283347676266e+20,5.0573880986803315e+19,2.0859778424557e+20,1e+21,0.0,0.7408283347676267,0.050573880986803314,0.20859778424557002,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
30,1e+22,2048,exponential,0.4,5.64170805098369,249.46895484516597,1.0,2.1687062694213837,8.444586066122756e+21,5.764837421139802e+20,9.789301917632635e+20,1e+22,0.0,0.8444586066122757,0.057648374211398026,0.09789301917632634,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
34,1e+19,2048,exponential,0.4,0.12982069965868392,10.000000000000002,0.5542523916185159,3.297408698975929,7.789241979521037e+18,5.317455858019695e+17,1.6790124346769938e+18,9.999999999999998e+18,2.220446049250313e-16,0.7789241979521038,0.05317455858019696,0.1679012434676994,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
34,1e+21,2048,exponential,0.4,2.3234171850185463,53.14560615855295,1.0,2.3780278051018837,7.408764879420566e+20,5.057716824351106e+19,2.0854634381443246e+20,1e+21,0.0,0.7408764879420565,0.05057716824351106,0.20854634381443246,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
34,1e+22,2048,exponential,0.4,5.644977128385578,249.33861950514296,1.0,2.1655246873173626,8.445064825978596e+21,5.765164254534721e+20,9.784187485679309e+20,9.999999999999998e+21,2.220446049250313e-16,0.8445064825978598,0.05765164254534722,0.0978418748567931,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
37,1e+19,2048,exponential,0.4,0.1290807370607298,10.0,0.5570705153282264,3.308352443908136,7.744844223643789e+18,5.287146990007493e+17,1.7264410773554624e+18,1.0000000000000002e+19,0.0,0.7744844223643788,0.05287146990007492,0.1726441077355462,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
37,1e+21,2048,exponential,0.4,2.3233248387165273,53.14727801439843,1.0,2.3829573363483423,7.40870346726148e+20,5.057674900317171e+19,2.0855290427068016e+20,9.999999999999999e+20,1.1102230246251565e-16,0.7408703467261482,0.05057674900317172,0.20855290427068018,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
